date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots,iv_at_entry
2022-03-28,2022-03-28T09:17:00+05:30,2022-03-28T15:15:00+05:30,358.0,172.85,152.9,172.75,104.2,325.75,6100.0,168.09,5931.91,Time Exit (15:15),3,24.06,17130.0508,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,23.622947090372612
2022-04-01,2022-04-01T09:17:00+05:30,2022-04-01T15:15:00+05:30,358.0,174.1,168.8,152.3,126.8,342.9,7975.0,170.96,7804.04,Time Exit (15:15),4,20.73,17452.8496,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.64634275369522
2022-04-08,2022-04-08T09:17:00+05:30,2022-04-08T15:15:00+05:30,358.0,155.45,146.95,140.7,113.35,302.4,6043.75,162.56,5881.19,Time Exit (15:15),3,19.1,17701.0996,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,19.208622608518567
2022-04-11,2022-04-11T09:17:00+05:30,2022-04-11T15:15:00+05:30,358.0,117.3,114.0,89.6,99.9,231.3,5225.0,146.14,5078.86,Time Exit (15:15),2,18.69,17745.8496,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.20174815304456
2022-06-01,2022-06-01T09:17:00+05:30,2022-06-01T15:15:00+05:30,358.0,111.75,97.25,64.35,96.85,209.0,5975.0,140.32,5834.68,Time Exit (15:15),1,19.84,16625.3008,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,29.10639161942005
2022-06-08,2022-06-08T09:17:00+05:30,2022-06-08T15:15:00+05:30,358.0,118.55,90.75,69.95,64.65,209.3,9337.5,138.2,9199.3,Time Exit (15:15),1,20.13,16420.3008,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,25.667224108299656
2022-06-20,2022-06-20T09:17:00+05:30,2022-06-20T15:15:00+05:30,358.0,182.4,164.0,151.0,137.9,346.4,8625.0,187.88,8437.12,Time Exit (15:15),3,23.19,15318.5,False,1,25,6,150,250000,0.0,0.0,0.0,0.0,0.0,2,1,25.040605988065263
2022-07-04,2022-07-04T09:17:00+05:30,2022-07-04T15:15:00+05:30,358.0,149.9,135.25,115.6,128.2,285.15,5168.75,159.02,5009.73,Time Exit (15:15),3,22.19,15775.2998,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,22.718686376424287
2022-07-11,2022-07-11T09:17:00+05:30,2022-07-11T15:15:00+05:30,358.0,116.65,126.1,118.4,107.4,242.75,2118.75,150.91,1967.84,Time Exit (15:15),3,19.08,16149.0,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.769576921697329
2022-07-14,2022-07-14T09:17:00+05:30,2022-07-14T14:12:00+05:30,295.0,55.1,58.15,23.0,34.75,113.25,6937.5,116.86,6820.64,Spot Move Exit (116pts > 113pts),0,18.48,16008.75,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,21.09549257314804
2022-07-27,2022-07-27T09:17:00+05:30,2022-07-27T15:15:00+05:30,358.0,76.1,83.05,86.3,79.45,159.14999999999998,-825.0,132.9,-957.9,Time Exit (15:15),1,18.44,16493.0,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.687878042780028
2022-08-08,2022-08-08T09:17:00+05:30,2022-08-08T15:15:00+05:30,358.0,131.55,124.6,100.4,112.35,256.15,5425.0,151.93,5273.07,Time Exit (15:15),2,20.09,17410.3008,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,19.674436043665185
2022-08-10,2022-08-10T09:17:00+05:30,2022-08-10T15:15:00+05:30,358.0,102.8,90.75,74.25,85.45,193.55,4231.25,137.78,4093.47,Time Exit (15:15),1,20.0,17514.1992,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,21.174133217796797
2022-08-12,2022-08-12T09:17:00+05:30,2022-08-12T15:15:00+05:30,358.0,125.5,122.15,109.45,107.5,247.65,3837.5,150.94,3686.56,Time Exit (15:15),3,18.32,17652.5996,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.259366658808219
2022-08-18,2022-08-18T09:17:00+05:30,2022-08-18T14:14:00+05:30,297.0,57.15,39.4,23.2,11.35,96.55,7750.0,112.33,7637.67,Winner Booking (26.3%),0,17.31,17915.75,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.146314498139557
2022-08-19,2022-08-19T09:17:00+05:30,2022-08-19T12:32:00+05:30,195.0,137.85,109.05,145.1,137.95,246.89999999999998,-4518.75,156.26,-4675.01,Spot Move Exit (250pts > 247pts),4,17.14,17980.3496,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.3134008512668
