reentry_max_per_day,reentry_cooldown_min,reentry_max_loss_per_lot,total_pnl,num_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe,dte_pnl,exit_reasons
1,60,1000,159734.15,249,63.9,1962.19,-1691.71,2.05,-13834.44,4.2,"{0: 73694.33, 1: 26099.129999999997, 2: 4324.0999999999985, 3: 25261.6, 4: 30354.989999999998}","{'hard_exit': 161, 'both_sl_hit': 41, 'winner_booking': 39, 'loss_limit': 4, 'combined_decay': 2, 'profit_target': 2}"
1,15,3000,158492.75,276,62.3,1949.28,-1699.85,1.9,-16846.12,4.02,"{0: 75775.92, 1: 26589.879999999997, 2: 3633.4799999999996, 3: 22138.48, 4: 30354.989999999998}","{'hard_exit': 163, 'both_sl_hit': 54, 'winner_booking': 49, 'loss_limit': 4, 'combined_decay': 4, 'profit_target': 2}"
1,15,1000,157734.16,256,63.3,1954.25,-1689.94,1.99,-13941.69,4.11,"{0: 71058.22, 1: 26332.15, 2: 6185.539999999999, 3: 23803.26, 4: 30354.989999999998}","{'hard_exit': 161, 'both_sl_hit': 45, 'winner_booking': 41, 'loss_limit': 4, 'combined_decay': 3, 'profit_target': 2}"
1,30,2000,157434.48,267,61.8,1968.81,-1641.36,1.94,-14113.71,4.06,"{0: 69470.26, 1: 26099.129999999997, 2: 4480.109999999999, 3: 27029.989999999998, 4: 30354.989999999998}","{'hard_exit': 160, 'both_sl_hit': 54, 'winner_booking': 44, 'loss_limit': 4, 'combined_decay': 3, 'profit_target': 2}"
1,30,5000,157065.47,278,61.5,1955.0,-1656.45,1.89,-16036.28,4.0,"{0: 74288.38, 1: 24102.33, 2: 5549.359999999999, 3: 22770.41, 4: 30354.989999999998}","{'hard_exit': 166, 'both_sl_hit': 57, 'winner_booking': 46, 'loss_limit': 4, 'combined_decay': 3, 'profit_target': 2}"
2,30,2000,156550.79,299,58.9,1928.68,-1486.97,1.86,-15160.21,3.98,"{0: 71060.8, 1: 26099.129999999997, 2: 4101.479999999999, 3: 24934.39, 4: 30354.989999999998}","{'hard_exit': 161, 'both_sl_hit': 74, 'winner_booking': 55, 'loss_limit': 4, 'combined_decay': 3, 'profit_target': 2}"
2,30,1000,154913.66,267,61.4,1938.9,-1583.16,1.95,-12952.06,4.03,"{0: 67763.7, 1: 26099.129999999997, 2: 7601.729999999999, 3: 23094.11, 4: 30354.989999999998}","{'hard_exit': 161, 'both_sl_hit': 54, 'winner_booking': 43, 'loss_limit': 4, 'combined_decay': 3, 'profit_target': 2}"
2,30,3000,154826.47,309,58.3,1932.47,-1496.27,1.8,-17082.78,3.88,"{0: 72900.3, 1: 24123.78, 2: 5170.729999999999, 3: 22276.67, 4: 30354.989999999998}","{'hard_exit': 163, 'both_sl_hit': 79, 'winner_booking': 58, 'loss_limit': 4, 'combined_decay': 3, 'profit_target': 2}"
1,30,3000,154356.92,274,61.3,1968.2,-1663.22,1.88,-16036.28,3.93,"{0: 72026.38, 1: 24123.78, 2: 5549.359999999999, 3: 22302.41, 4: 30354.989999999998}","{'hard_exit': 162, 'both_sl_hit': 57, 'winner_booking': 46, 'loss_limit': 4, 'combined_decay': 3, 'profit_target': 2}"
1,30,1000,151118.86,254,62.2,1970.16,-1668.39,1.94,-13848.25,3.95,"{0: 66155.92, 1: 26099.129999999997, 2: 6037.669999999998, 3: 22471.15, 4: 30354.989999999998}","{'hard_exit': 160, 'both_sl_hit': 48, 'winner_booking': 37, 'loss_limit': 4, 'combined_decay': 3, 'profit_target': 2}"
