base_sl_pct,dynamic_sl,trail_trigger_pct,trail_lock_pct,total_pnl,num_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe,dte_pnl,exit_reasons
20.0,False,50.0,15.0,66193.52,127,64.6,1659.19,-1552.44,1.95,-8230.5,3.03,"{0: 13320.449999999997, 3: 21493.68, 4: 31379.39}","{'hard_exit': 70, 'both_sl_hit': 46, 'loss_limit': 5, 'profit_target': 5, 'combined_decay': 1}"
20.0,False,60.0,10.0,65996.32,127,69.3,1486.6,-1662.18,2.02,-7785.37,3.14,"{0: 13718.25, 3: 20402.07, 4: 31876.0}","{'hard_exit': 62, 'both_sl_hit': 56, 'loss_limit': 5, 'profit_target': 4}"
20.0,False,50.0,20.0,63811.27,127,64.6,1630.13,-1552.44,1.91,-8450.85,2.94,"{0: 12243.400000000001, 3: 20471.88, 4: 31095.99}","{'hard_exit': 70, 'both_sl_hit': 47, 'loss_limit': 5, 'profit_target': 4, 'combined_decay': 1}"
15.0,False,50.0,10.0,61828.14,127,61.4,1661.4,-1382.88,1.91,-8165.46,2.98,"{0: 7915.709999999999, 3: 22249.63, 4: 31662.8}","{'hard_exit': 69, 'both_sl_hit': 51, 'profit_target': 3, 'loss_limit': 3, 'combined_decay': 1}"
15.0,False,40.0,10.0,61155.89,127,59.8,1743.14,-1398.49,1.86,-9768.34,2.85,"{0: 12114.05, 3: 18579.6, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 48, 'profit_target': 3, 'loss_limit': 3, 'combined_decay': 1}"
15.0,False,60.0,10.0,60518.46,127,66.9,1448.39,-1490.35,1.97,-8165.46,3.1,"{0: 8240.390000000001, 3: 20402.07, 4: 31876.0}","{'both_sl_hit': 62, 'hard_exit': 60, 'loss_limit': 3, 'profit_target': 2}"
20.0,False,60.0,15.0,60107.96,127,69.3,1419.69,-1662.18,1.93,-7785.37,2.89,"{0: 10565.75, 3: 18686.72, 4: 30855.489999999998}","{'hard_exit': 62, 'both_sl_hit': 56, 'loss_limit': 5, 'profit_target': 4}"
15.0,False,40.0,15.0,60104.84,127,59.8,1729.31,-1398.49,1.84,-9768.34,2.82,"{0: 11267.1, 3: 18375.5, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 48, 'profit_target': 3, 'loss_limit': 3, 'combined_decay': 1}"
15.0,False,50.0,15.0,59693.52,127,61.4,1634.04,-1382.88,1.88,-8165.46,2.9,"{0: 6820.449999999999, 3: 21493.68, 4: 31379.39}","{'hard_exit': 69, 'both_sl_hit': 51, 'profit_target': 3, 'loss_limit': 3, 'combined_decay': 1}"
15.0,False,40.0,20.0,58732.05,127,59.8,1711.25,-1398.49,1.82,-9768.34,2.77,"{0: 10449.41, 3: 17820.4, 4: 30462.239999999998}","{'hard_exit': 72, 'both_sl_hit': 48, 'profit_target': 3, 'loss_limit': 3, 'combined_decay': 1}"
