Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
16.1,2020-01-22,Wednesday,09:17:00,48.8,65,CE,12200.0,Sell,2020-01-22,Wednesday,15:15:00,10.7,2476.4999999999995,78.07377049180327,2020-01-23,,,Exit Condition Met For Trade
16.2,2020-01-22,Wednesday,09:17:00,29.8,65,PE,12200.0,Sell,2020-01-22,Wednesday,09:20:00,35.75,-386.74999999999994,-19.96644295302013,2020-01-23,,,Stop Loss Hit
17,2020-01-23,,09:17:00,12100.05,,,,,2020-01-23,,15:15:00,12181.0,1634.75,,,1634.75,0,Exit Condition Met For Trade
17.1,2020-01-23,Thursday,09:17:00,17.7,65,CE,12100.0,Sell,2020-01-23,Thursday,09:19:00,21.25,-230.75000000000006,-20.056497175141246,2020-01-23,,,Stop Loss Hit
17.2,2020-01-23,Thursday,09:17:00,28.75,65,PE,12100.0,Sell,2020-01-23,Thursday,15:15:00,0.05,1865.5,99.82608695652173,2020-01-23,,,Exit Condition Met For Trade
18,2020-01-24,,09:17:00,12189.15,,,,,2020-01-24,,09:43:00,12213.3,-1855.75,,,87.75,-1855.75,
18.1,2020-01-24,Friday,09:17:00,71.6,65,CE,12200.0,Sell,2020-01-24,Friday,09:43:00,85.9,-929.5000000000007,-19.97206703910616,2020-01-30,,,Stop Loss Hit
18.2,2020-01-24,Friday,09:17:00,71.2,65,PE,12200.0,Sell,2020-01-24,Friday,09:18:00,85.45,-926.25,-20.014044943820224,2020-01-30,,,Stop Loss Hit
19,2020-01-27,,09:17:00,12189.5,,,,,2020-01-27,,15:15:00,12122.55,799.5,,,913.25,-1413.75,Exit Condition Met For Trade
19.1,2020-01-27,Monday,09:17:00,60.05,65,CE,12200.0,Sell,2020-01-27,Monday,15:15:00,32.75,1774.4999999999998,45.462114904246455,2020-01-30,,,Exit Condition Met For Trade
19.2,2020-01-27,Monday,09:17:00,75.0,65,PE,12200.0,Sell,2020-01-27,Monday,09:22:00,90.0,-975.0,-20.0,2020-01-30,,,Stop Loss Hit
20,2020-01-28,,09:17:00,12130.25,,,,,2020-01-28,,09:31:00,12147.6,-1550.25,,,19.5,-1550.25,
20.1,2020-01-28,Tuesday,09:17:00,46.75,65,CE,12150.0,Sell,2020-01-28,Tuesday,09:31:00,56.1,-607.7500000000001,-20.000000000000004,2020-01-30,,,Stop Loss Hit
